Mode,MB,Run,Base_ms,Base_GBps,Pipe_ms,Pipe_Phys_GBps,Pipe_Eff_GBps,H2DComp_ms,Decomp_ms,Kernel_ms,D2H_ms
RANDOM,16,10,5.40401,2.89137,49.0904,0.319538,0.31829,2.87694,43.528,0.134588,2.55084
RANDOM,64,1,21.5798,2.89623,65.7426,0.954405,0.950677,11.169,43.8647,0.521525,10.1873
RANDOM,64,2,21.5793,2.89629,65.7658,0.954069,0.950342,11.1839,43.8731,0.521866,10.1868
RANDOM,64,3,21.5764,2.89668,65.7468,0.954344,0.950616,11.1701,43.8682,0.522325,10.1862
RANDOM,64,4,21.5801,2.89619,65.746,0.954357,0.950629,11.1712,43.866,0.521926,10.1867
RANDOM,64,5,21.5806,2.89612,65.7395,0.95445,0.950722,11.1659,43.8634,0.522714,10.1875
RANDOM,64,6,21.5796,2.89626,65.7468,0.954344,0.950616,11.1762,43.8617,0.521144,10.1877
RANDOM,64,7,21.5751,2.89685,65.7384,0.954467,0.950738,11.1678,43.8634,0.521184,10.1859
RANDOM,64,8,21.5788,2.89637,65.7874,0.953755,0.950029,11.1672,43.8776,0.556414,10.1862
RANDOM,64,9,21.5788,2.89637,65.7425,0.954407,0.950679,11.1675,43.866,0.522064,10.1869
RANDOM,64,10,21.5771,2.8966,65.74,0.954444,0.950715,11.1681,43.8636,0.521897,10.1863
RANDOM,256,1,86.3353,2.89569,131.707,1.9056,1.89816,44.2665,44.6554,2.06489,40.7199
RANDOM,256,2,86.2803,2.89753,131.708,1.90558,1.89813,44.2693,44.6524,2.06565,40.7209
RANDOM,256,3,86.2834,2.89743,131.717,1.90545,1.898,44.2795,44.6522,2.06474,40.7209
RANDOM,256,4,86.2791,2.89757,131.773,1.90464,1.8972,44.2805,44.643,2.12919,40.7205
RANDOM,256,5,86.2773,2.89763,131.71,1.90555,1.89811,44.2566,44.6506,2.08197,40.7209
RANDOM,256,6,86.2743,2.89774,131.694,1.90578,1.89834,44.2591,44.6495,2.06517,40.7204
RANDOM,256,7,86.2717,2.89782,131.726,1.90532,1.89787,44.3011,44.6394,2.06541,40.7203
RANDOM,256,8,86.279,2.89758,131.714,1.90549,1.89805,44.2818,44.6477,2.06426,40.7201
RANDOM,256,9,86.2729,2.89778,131.734,1.90521,1.89777,44.2738,44.671,2.06608,40.7228
RANDOM,256,10,86.2787,2.89759,131.706,1.90561,1.89816,44.2683,44.6507,2.06491,40.7223
RANDOM,512,1,172.54,2.89788,220.276,2.27878,2.26988,88.4041,46.3143,4.12484,81.4324
RANDOM,512,2,172.612,2.89667,220.263,2.27891,2.27001,88.3898,46.3157,4.12361,81.4339
RANDOM,512,3,172.538,2.89791,220.333,2.27819,2.26929,88.4123,46.3107,4.17284,81.4372
RANDOM,512,4,172.542,2.89784,220.264,2.27891,2.27001,88.3881,46.3183,4.12475,81.4324
RANDOM,512,5,172.537,2.89793,220.266,2.27888,2.26998,88.3834,46.3251,4.12472,81.4331
RANDOM,512,6,172.537,2.89793,220.305,2.27848,2.26958,88.4296,46.3208,4.12216,81.4327
RANDOM,512,7,172.583,2.89716,220.288,2.27866,2.26976,88.396,46.2906,4.1693,81.4316
RANDOM,512,8,172.547,2.89776,220.313,2.27839,2.26949,88.4027,46.3052,4.17291,81.4325
RANDOM,512,9,172.548,2.89774,220.237,2.27918,2.27028,88.3717,46.3109,4.12301,81.4317
RANDOM,512,10,172.583,2.89715,220.284,2.2787,2.2698,88.4271,46.3001,4.12417,81.4327
RANDOM,1024,1,345.133,2.89743,396.435,2.53238,2.52248,176.616,48.7069,8.25394,162.858
RANDOM,1024,2,345.08,2.89788,396.278,2.53338,2.52348,176.579,48.592,8.24912,162.857
RANDOM,1024,3,345.078,2.8979,396.335,2.53301,2.52312,176.582,48.5986,8.29807,162.857
RANDOM,1024,4,345.118,2.89756,396.216,2.53378,2.52388,176.584,48.4779,8.29605,162.858
RANDOM,1024,5,345.074,2.89793,396.324,2.53309,2.52319,176.618,48.6003,8.2478,162.857
RANDOM,1024,6,345.09,2.89779,396.397,2.53262,2.52273,176.605,48.6875,8.24657,162.857
RANDOM,1024,7,345.118,2.89756,396.38,2.53273,2.52283,176.57,48.7028,8.24886,162.858
RANDOM,1024,8,345.114,2.8976,396.344,2.53296,2.52306,176.597,48.5778,8.31299,162.856
RANDOM,1024,9,345.076,2.89791,396.278,2.53338,2.52348,176.582,48.4984,8.29244,162.905
RANDOM,1024,10,345.119,2.89755,396.133,2.5343,2.5244,176.58,48.4471,8.24781,162.858
